[('3.02', '2024-08-06 13:07:49', '3623')]
[('2.53', '2024-08-06 13:08:19', '4310')]
[('2.80', '2024-08-06 13:08:45', '4531')]
[('8.36', '2024-08-06 13:09:24', '4362')]
[('1.17', '2024-08-06 13:09:44', '4727')]
[('4.18', '2024-08-06 13:10:17', '4208')]
[('1.99', '2024-08-06 13:10:45', '4886')]
[('1.00', '2024-08-06 13:11:03', '4874')]
[('2.87', '2024-08-06 13:11:33', '4306')]
[('1.07', '2024-08-06 13:11:50', '4690')]
[('1.38', '2024-08-06 13:12:09', '3916')]
[('1.07', '2024-08-06 13:12:26', '3976')]
[('1.51', '2024-08-06 13:12:54', '3344')]
[('3.31', '2024-08-06 13:13:22', '3403')]
[('1.07', '2024-08-06 13:13:38', '3753')]
[('2.12', '2024-08-06 13:14:03', '2965')]
[('1.00', '2024-08-06 13:14:19', '3186')]
[('1.17', '2024-08-06 13:14:35', '3123')]
[('27.82', '2024-08-06 13:15:27', '2549')]
[('1.00', '2024-08-06 13:15:46', '3338')]
[('1.94', '2024-08-06 13:16:13', '3096')]
[('1.74', '2024-08-06 13:16:36', '3546')]
[('2.28', '2024-08-06 13:17:03', '3189')]
[('3.04', '2024-08-06 13:17:31', '3496')]
[('5.57', '2024-08-06 13:18:07', '3591')]
[('1.14', '2024-08-06 13:18:25', '3873')]
[('1.30', '2024-08-06 13:18:42', '3207')]
[('1.75', '2024-08-06 13:19:05', '3080')]
[('1.07', '2024-08-06 13:19:22', '3452')]
[('1.59', '2024-08-06 13:19:42', '3024')]
[('2.27', '2024-08-06 13:20:08', '2682')]
[('1.17', '2024-08-06 13:20:24', '3258')]
[('14.17', '2024-08-06 13:21:12', '2695')]
[('5.31', '2024-08-06 13:21:46', '3144')]
[('11.74', '2024-08-06 13:22:29', '3565')]
[('5.94', '2024-08-06 13:23:09', '3753')]
[('5.49', '2024-08-06 13:23:47', '4154')]
[('11.30', '2024-08-06 13:24:34', '4416')]
[('2.78', '2024-08-06 13:25:03', '4546')]
[('1.00', '2024-08-06 13:25:20', '4540')]
[('1.38', '2024-08-06 13:25:41', '3820')]
[('1.21', '2024-08-06 13:25:59', '3610')]
[('1.02', '2024-08-06 13:26:15', '3393')]
[('1.20', '2024-08-06 13:26:35', '3196')]
[('1.32', '2024-08-06 13:26:54', '3245')]
[('3.58', '2024-08-06 13:27:23', '3146')]
[('1.00', '2024-08-06 13:27:43', '4255')]
[('3.43', '2024-08-06 13:28:13', '3861')]
[('2.02', '2024-08-06 13:28:42', '4000')]
[('3.54', '2024-08-06 13:29:13', '4225')]
[('1.80', '2024-08-06 13:29:37', '4338')]
[('3.15', '2024-08-06 13:30:07', '4089')]
[('6.00', '2024-08-06 13:30:44', '4450')]
[('4.26', '2024-08-06 13:31:18', '4833')]
